"Valuation Date","Last Movement Date",Organization,"Last Material Receipt Date","Org Warehouse",Locator,"Item Category","Item No","C_UOM_ID","On Hand Qty","C_Currency_ID","Moving Average Price","Price Value","C_Currency_ID_To","Current Price","Price Value","AD_Client_ID"
"31-01-2023","23-12-2022","CM_SMT","07-01-2023","CM01 Warehouse","IPP5002 In-process Parts unused Free","Parts (Free parts)",QPWBC0060MIZZ,PCS,"164,226",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","02-01-2023","CM01 Warehouse","IPP5002 In-process Parts unused Free","Parts (Free parts)","VHHNCP02XH1-M",PCS,"56,617,577",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","19-10-2022","CM_SMT","17-10-2022","CM01 Warehouse","IPP5002 In-process Parts unused Free","Parts (Free parts)","VHIAD5843A1-M",PCS,"72,720",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","16-01-2023","CM01 Warehouse","IPP5002 In-process Parts unused Free","Parts (Free parts)",VHIAD5844A09M,PCS,"3,268,684",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","13-01-2023","CM01 Warehouse","IPP5002 In-process Parts unused Free","Parts (Free parts)","VHMCS40L60A-M",PCS,"55,568,706",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","16-01-2023","CM01 Warehouse","IPP5002 In-process Parts unused Free","Parts (Free parts)","VHMCS40L61C-M",PCS,"1,242,000",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","16-01-2023","CM01 Warehouse","IPP5002 In-process Parts unused Free","Parts (Free parts)","VHMRHS03G5C-M",PCS,"3,858,334",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","21-10-2022","CM_SMT","19-10-2022","CM01 Warehouse","IPP5002 In-process Parts unused Free","Parts (Free parts)","VHMTAS1008A-M",PCS,"36,609",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","14-01-2023","CM01 Warehouse","IPP5002 In-process Parts unused Free","Parts (Free parts)","VHMTAS1008P-M",PCS,"6,532,256",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","13-10-2022","CM_SMT","11-01-2022","CM01 Warehouse","IPP5002 In-process Parts unused Free","Parts (Free parts)","VHMTAS1010A-M",PCS,"41,250",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","13-10-2022","CM_SMT","11-01-2022","CM01 Warehouse","IPP5002 In-process Parts unused Free","Parts (Free parts)","VHMTAS1011A-M",PCS,"31,470",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","16-01-2023","CM01 Warehouse","IPP5002 In-process Parts unused Free","Parts (Free parts)","VHMTAS1023B-M",PCS,"112,852,617",USD,"0.00","0.0",,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","02-12-2022","CM_SMT","09-09-2022","CM01 Warehouse","IPP5002 In-process Parts unused Free","Parts (Free parts)","VHMTVS1005C-M",PCS,"3,079,210",USD,"0.00","0.0",USD,"0.0","0.0","SHARP Manufacturing Vietnam"
"31-01-2023","31-01-2023","CM_SMT","12-01-2023","CM01 Warehouse","IPP5002 In-process Parts unused Free","Parts (Purchased parts)",ZHNDAE128003I,g,"745,500,000",USD,"0.1558","116,148,900.0",USD,"0.1558","116,148,900.0","SHARP Manufacturing Vietnam"
"31-01-2023","30-11-2022","CM_SMT","21-11-2022","CM01 Warehouse","MTS5001 Material Stock","Parts (Purchased parts)","SLABL-50-001L",PCS,"34,300",USD,"0.0091","312.13",VND,"214.214","7,347,540.2","SHARP Manufacturing Vietnam"
